Messages,Turns,Domain,Sector,Topic,User_Gender,Assistant_Gender,Instruction_ID,Language
"[{'content': 'नमस्ते, क्या मैं रोहन से बात कर रहा हूँ?', 'role': 'user'}, {'content': 'नमस्ते रोहन जी, मैं करण बोल रहा हूँ, जियो से। कैसे हैं आप?', 'role': 'assistant'}, {'content': 'हाँ, मैं ठीक हूँ। आपने कॉल क्यों किया?', 'role': 'user'}, {'content': 'मैं आपको हमारे नए प्लान के बारे में बताने के लिए कॉल कर रहा हूँ। यह प्लान आपको अधिक डेटा और वॉयस मिनट्स देगा।', 'role': 'assistant'}, {'content': 'ओह, अच्छा है। यह प्लान क्या ऑफर करता है?', 'role': 'user'}, {'content': 'इस नए प्लान में आपको ₹499 में 100GB डेटा और 500 वॉयस मिनट्स मिलेंगे।', 'role': 'assistant'}, {'content': 'यह तो मेरे लिए बहुत अच्छा है। मैं इसे खरीदना चाहूंगा।', 'role': 'user'}, {'content': 'बहुत बढ़िया! मैं आपको इस प्लान को एक्टिवेट करने में मदद करूंगा। क्या आपको कोई और जानकारी चाहिए?', 'role': 'assistant'}, {'content': 'नहीं, धन्यवाद। मैं इस प्लान का आनंद लूंगा।', 'role': 'user'}, {'content': 'आपके समय के लिए धन्यवाद रोहन जी, हम आशा करते हैं कि आप इस नए प्लान का आनंद लेंगे।', 'role': 'assistant'}]",5,sales,telecom,Telecom Service Provider (New Plan Promotion),Male,Male,ef46f864-1930-4548-abc7-a8a311f031c8,"mix_language-Hindi,English"
"[{'content': 'Hello, is this Rohan?', 'role': 'user'}, {'content': 'Yes, this is Rohan. Who is this?', 'role': 'assistant'}, {'content': 'Hi Rohan, this is Karan from Jio. I’m calling to tell you about our new prepaid plan.', 'role': 'user'}, {'content': 'Oh, what’s the new plan about?', 'role': 'assistant'}, {'content': 'The new plan offers 100GB data and 500 voice minutes for just ₹499. It’s a great deal!', 'role': 'user'}, {'content': 'That sounds interesting. How do I switch to this plan?', 'role': 'assistant'}, {'content': 'I can help you with that. Would you like to activate it now?', 'role': 'user'}, {'content': 'Yes, please. Go ahead and activate it for me.', 'role': 'assistant'}, {'content': 'Great! I’ll activate the plan for you. You’ll receive a confirmation message shortly.', 'role': 'user'}, {'content': 'Thank you, Karan. I’m looking forward to using the new plan.', 'role': 'assistant'}, {'content': 'You’re welcome, Rohan. If you have any questions, feel free to call us. Enjoy your new plan!', 'role': 'user'}]",5,sales,telecom,Telecom Service Provider (New Plan Promotion),Male,Male,ef46f864-1930-4548-abc7-a8a311f031c8,"mix_language-Hindi,English"
"[{'content': 'नमस्ते, क्या मैं रोहन से बात कर रहा हूँ?', 'role': 'user'}, {'content': 'हाँ, मैं रोहन बोल रहा हूँ। आप कौन हैं?', 'role': 'assistant'}, {'content': 'मैं करण हूँ, जियो से। मैं आपको हमारे नए प्लान के बारे में बताने के लिए कॉल कर रहा हूँ।', 'role': 'user'}, {'content': 'अच्छा, यह नया प्लान क्या ऑफर करता है?', 'role': 'assistant'}, {'content': 'इस प्लान में आपको ₹499 में 100GB डेटा और 500 वॉयस मिनट्स मिलेंगे।', 'role': 'user'}, {'content': 'यह तो बहुत अच्छा है। मैं इसे खरीदना चाहूंगा।', 'role': 'assistant'}, {'content': 'बहुत बढ़िया! मैं आपके लिए इस प्लान को एक्टिवेट कर देता हूँ।', 'role': 'user'}, {'content': 'धन्यवाद, करण। मैं इस प्लान का आनंद लूंगा।', 'role': 'assistant'}, {'content': 'आपका स्वागत है, रोहन। अगर आपको कोई सहायता चाहिए, तो कृपया हमें कॉल करें।', 'role': 'user'}]",4,sales,telecom,Telecom Service Provider (New Plan Promotion),Male,Male,ef46f864-1930-4548-abc7-a8a311f031c8,"mix_language-Hindi,English"
"[{'content': 'Hello', 'role': 'user'}, {'content': 'Hi Karan! This is Rohan from EduTech Learning Solutions. How are you doing today?', 'role': 'assistant'}, {'content': 'Hi Rohan, I’m good, thanks. I’m facing some issues with the online course platform.', 'role': 'user'}, {'content': 'Thanks for reaching out, Karan. I understand you’re experiencing issues with our online course platform. Can you please describe the problem?', 'role': 'assistant'}, {'content': 'Sure, I’m unable to access the course materials. It keeps showing an error message.', 'role': 'user'}, {'content': 'We can definitely help you with accessing your course materials. Can you please confirm your course enrollment details?', 'role': 'assistant'}, {'content': 'Yes, I enrolled in the Data Science Certification course on 10th January 2024.', 'role': 'user'}, {'content': 'Got it, Karan. Let me check the issue on our end. One moment, please.', 'role': 'assistant'}, {'content': 'Okay, thanks.', 'role': 'user'}, {'content': 'It seems there was a temporary glitch. I’ve reset your access. Can you try logging in again?', 'role': 'assistant'}, {'content': 'Yes, it’s working now. Thanks a lot!', 'role': 'user'}, {'content': 'You’re welcome! We also have some exciting new courses launching soon, including an Advanced Data Science Certification. Would you like to know more about it?', 'role': 'assistant'}, {'content': 'Sure, that sounds interesting. Tell me more.', 'role': 'user'}, {'content': 'The Advanced Data Science Certification covers advanced topics like machine learning, deep learning, and AI. It’s perfect for someone looking to upskill further. Would you like me to send you the details?', 'role': 'assistant'}, {'content': 'Yes, please send me the details.', 'role': 'user'}, {'content': 'I’ll email you the course brochure shortly. Is there anything else I can help you with today, Karan? We’re committed to providing you with the best learning experience possible.', 'role': 'assistant'}, {'content': 'No, that’s all for now. Thanks for your help!', 'role': 'user'}, {'content': 'You’re welcome! Feel free to reach out anytime. Have a great day and happy learning!', 'role': 'assistant'}]",9,education,online learning,Customer Support for Online Courses,Male,Male,d44475d8-3fa5-4c1e-827f-1ecbd890012b,"mix_language-Hindi,English"
"[{'content': 'Hello', 'role': 'user'}, {'content': 'Hi Karan! This is Rohan from EduTech Learning Solutions. How can I assist you today?', 'role': 'assistant'}, {'content': 'Hi Rohan, I’m having trouble accessing the live sessions for my Data Science course.', 'role': 'user'}, {'content': 'Thanks for reaching out, Karan. I understand you’re having trouble accessing the live sessions. Let me check this for you.', 'role': 'assistant'}, {'content': 'Okay, thanks.', 'role': 'user'}, {'content': 'It seems there’s an issue with your session link. I’ve sent you a new link via email. Can you check and try again?', 'role': 'assistant'}, {'content': 'Yes, I got the email. Let me try.', 'role': 'user'}, {'content': 'Great! Let me know if it works.', 'role': 'assistant'}, {'content': 'It’s working now. Thanks!', 'role': 'user'}, {'content': 'You’re welcome! By the way, we have some exciting new courses launching soon, including an Advanced Data Science Certification. Would you like to know more?', 'role': 'assistant'}, {'content': 'Not right now, but I’ll keep it in mind. Thanks again!', 'role': 'user'}, {'content': 'No problem, Karan. If you need anything else, feel free to reach out. Have a great day!', 'role': 'assistant'}]",6,education,online learning,Customer Support for Online Courses,Male,Male,d44475d8-3fa5-4c1e-827f-1ecbd890012b,"mix_language-Hindi,English"
"[{'content': 'Hello', 'role': 'user'}, {'content': 'Hi Karan! This is Rohan from EduTech Learning Solutions. How’s your learning experience going so far?', 'role': 'assistant'}, {'content': 'Hi Rohan, it’s going well, but I’m unable to download the course materials.', 'role': 'user'}, {'content': 'Thanks for reaching out, Karan. I understand you’re unable to download the course materials. Let me assist you with that.', 'role': 'assistant'}, {'content': 'Yes, please. I need the materials for offline study.', 'role': 'user'}, {'content': 'Sure, Karan. I’ve enabled the download option for your course. Can you try downloading them now?', 'role': 'assistant'}, {'content': 'Yes, it’s working. Thanks a lot!', 'role': 'user'}, {'content': 'You’re welcome! We also have some exciting new courses launching soon, including an Advanced Data Science Certification. Would you like to know more?', 'role': 'assistant'}, {'content': 'Not right now, but I’ll check it out later. Thanks!', 'role': 'user'}, {'content': 'No problem, Karan. If you need anything else, feel free to reach out. Have a great day and happy learning!', 'role': 'assistant'}]",5,education,online learning,Customer Support for Online Courses,Male,Male,d44475d8-3fa5-4c1e-827f-1ecbd890012b,"mix_language-Hindi,English"
"[{'content': 'नमस्ते', 'role': 'user'}, {'content': 'नमस्ते रोहन जी, मैं नलिनी बोल रही हूँ, एडुब्रिज इंडिया से। हम आपका ऑनलाइन कोर्स में स्वागत करते हैं।', 'role': 'assistant'}, {'content': 'धन्यवाद नलिनी जी। मैंने Artificial Intelligence Certification के लिए एनरोल किया है। क्या आप मुझे कोर्स के बारे में कुछ और जानकारी दे सकती हैं?', 'role': 'user'}, {'content': 'जरूर, रोहन जी। यह कोर्स तीन मॉड्यूल में विभाजित है - मूल बातें, उन्नत अवधारणाएँ, और एक परियोजना। प्रत्येक मॉड्यूल के अंत में एक असाइनमेंट होगा।', 'role': 'assistant'}, {'content': 'अच्छा, और क्या मुझे कोर्स के लिए किसी विशेष सॉफ्टवेयर की आवश्यकता होगी?', 'role': 'user'}, {'content': 'हाँ, रोहन जी। आपको Python और TensorFlow की बुनियादी समझ होनी चाहिए। यदि आपको इन्हें सीखने में मदद चाहिए, तो हमारे पास शुरुआती ट्यूटोरियल भी उपलब्ध हैं।', 'role': 'assistant'}, {'content': 'ठीक है, धन्यवाद। मैं कैसे प्लेटफॉर्म पर लॉगिन कर सकता हूँ?', 'role': 'user'}, {'content': 'आपको अपने ईमेल पर लॉगिन क्रेडेंशियल्स मिले होंगे। उनका उपयोग करके आप प्लेटफॉर्म पर प्रवेश कर सकते हैं। यदि आपको कोई समस्या हो, तो हमें संदेश भेजने में संकोच न करें।', 'role': 'assistant'}, {'content': 'बहुत अच्छा। मैं आज से ही शुरू करूंगा।', 'role': 'user'}, {'content': 'यह बहुत अच्छी बात है, रोहन जी। आपको सफलता मिलेगी, और यदि आपको आवश्यकता हो, तो हमें संदेश भेजने में संकोच न करें।', 'role': 'assistant'}]",5,education,online learning,Online Learning Platform (New Course Enrollment),Male,Female,0f46b447-d724-45c6-82a6-0b1f5b196fc0,"mix_language-Hindi,English"
"[{'content': 'Hi', 'role': 'user'}, {'content': 'नमस्ते रोहन जी, मैं नलिनी बोल रही हूँ, एडुब्रिज इंडिया से। हम आपका ऑनलाइन कोर्स में स्वागत करते हैं।', 'role': 'assistant'}, {'content': 'Hello Nalini ji, thank you. I have enrolled for the Artificial Intelligence Certification. Can you guide me on how to start?', 'role': 'user'}, {'content': 'जरूर, रोहन जी। सबसे पहले, आपको अपने ईमेल पर मिले लॉगिन क्रेडेंशियल्स का उपयोग करके प्लेटफॉर्म पर लॉगिन करना होगा। वहां आपको कोर्स की सभी सामग्री मिलेगी।', 'role': 'assistant'}, {'content': 'Okay, I have logged in. What should I do next?', 'role': 'user'}, {'content': 'अब आप पहले मॉड्यूल - मूल बातें से शुरू कर सकते हैं। इसमें आपको AI की बुनियादी अवधारणाओं के बारे में पढ़ाया जाएगा।', 'role': 'assistant'}, {'content': 'Understood. Is there any deadline for completing the modules?', 'role': 'user'}, {'content': 'हाँ, रोहन जी। प्रत्येक मॉड्यूल के लिए एक समय सीमा होती है, लेकिन आप अपनी गति से काम कर सकते हैं। हमारा सुझाव है कि आप नियमित रूप से अध्ययन करें।', 'role': 'assistant'}, {'content': 'Alright, I will keep that in mind. Thank you for your help, Nalini ji.', 'role': 'user'}, {'content': 'You’re welcome, Rohan ji. If you need any further assistance, feel free to contact us. Best of luck with your course!', 'role': 'assistant'}]",5,education,online learning,Online Learning Platform (New Course Enrollment),Male,Female,0f46b447-d724-45c6-82a6-0b1f5b196fc0,"mix_language-Hindi,English"
"[{'content': 'Hello, is this Aarav from AutoDrive Motors?', 'role': 'user'}, {'content': 'Yes, this is Aarav. How can I assist you today?', 'role': 'assistant'}, {'content': 'Hi Aarav, I’m Drishti from Delhi. I’m interested in your new SUV model. Can you tell me more about it?', 'role': 'user'}, {'content': 'Of course, Drishti ji! हमारा नया SUV मॉडल बहुत ही फीचर-पैक्ड है और आपके बजट के अनुसार भी उपलब्ध है। क्या आपने इसकी कीमत के बारे में सुना है?', 'role': 'assistant'}, {'content': 'Not yet. What’s the starting price?', 'role': 'user'}, {'content': 'The starting price is 15 लाख, लेकिन हम आपको इस पर एक अच्छा ऑफर दे सकते हैं। क्या आपका बजट इस रेंज में है?', 'role': 'assistant'}, {'content': 'Hmm, मेरा बजट थोड़ा कम है। क्या आप इसे 13-14 लाख तक ला सकते हैं?', 'role': 'user'}, {'content': 'Drishti ji, हम आपकी बात समझते हैं। हम आपके लिए कुछ छूट और एक्सेसरीज फ्री में दे सकते हैं, जिससे यह आपके बजट में फिट हो जाएगा। क्या यह ठीक रहेगा?', 'role': 'assistant'}, {'content': 'That sounds good. Can you also tell me about the delivery timeline?', 'role': 'user'}, {'content': 'जी हाँ, डिलीवरी में लगभग 2 हफ्ते लगेंगे। क्या हम इसी डील पर आगे बढ़ सकते हैं?', 'role': 'assistant'}, {'content': 'Yes, let’s proceed. Thank you, Aarav!', 'role': 'user'}, {'content': 'You’re welcome, Drishti ji! हम आपकी कार को जल्द से जल्द डिलीवर करने की पूरी कोशिश करेंगे। Have a great day!', 'role': 'assistant'}]",6,sales,automobile,Car Dealership (Price Negotiation),Male,Male,8f932022-2b7d-49d5-9352-92d3583ce276,"mix_language-Hindi,English"
"[{'content': 'Hi, is this Aarav from AutoDrive Motors?', 'role': 'user'}, {'content': 'Yes, speaking. How may I help you?', 'role': 'assistant'}, {'content': 'I’m Drishti, and I’m interested in your SUV model. Can you tell me about the financing options?', 'role': 'user'}, {'content': 'जी हाँ, Drishti ji! हमारे पास आसान EMI ऑप्शन्स हैं, जो आपके बजट को ध्यान में रखकर डिज़ाइन किए गए हैं। क्या आपको किसी विशेष EMI प्लान के बारे में जानकारी चाहिए?', 'role': 'assistant'}, {'content': 'Yes, I’d like to know about the 5-year EMI plan.', 'role': 'user'}, {'content': '5-year EMI प्लान में आपकी मासिक किश्त लगभग 25,000 रुपये होगी। क्या यह आपके लिए सुविधाजनक है?', 'role': 'assistant'}, {'content': 'That works for me. Can you also include any free accessories?', 'role': 'user'}, {'content': 'हाँ, हम आपको फ्री में कार कवर और फ्लोर मैट्स दे सकते हैं। क्या हम इस डील को कन्फर्म कर सकते हैं?', 'role': 'assistant'}, {'content': 'Yes, let’s confirm it. Thanks, Aarav!', 'role': 'user'}, {'content': 'You’re welcome, Drishti ji! हम आपकी कार को जल्द से जल्द तैयार करेंगे। Have a great day ahead!', 'role': 'assistant'}]",5,sales,automobile,Car Dealership (Price Negotiation),Male,Male,8f932022-2b7d-49d5-9352-92d3583ce276,"mix_language-Hindi,English"
